symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,exit_reason,ml_prob,regime,days_held
AAPL,2018-05-01,2018-05-24,39.7658,44.4124,26.0,120.81159999999998,0.1168491517836936,TIMEOUT,0.3525423728813559,unknown,23
MSFT,2018-06-08,2018-06-27,95.0099,91.19,31.0,-118.41690000000013,-0.040205283870417774,SL_HIT,0.5791190864600326,low_vol_choppy,19
GOOGL,2018-06-20,2018-06-27,58.9896,55.6453,27.0,-90.29610000000011,-0.056693044197621334,SL_HIT,0.3181818181818182,low_vol_choppy,7
GOOGL,2018-07-12,2018-08-06,59.846,61.66,34.0,61.676,0.030311131905223387,TIMEOUT,0.5791190864600326,low_vol_choppy,25
AMZN,2018-07-16,2018-08-08,91.1245,94.326,20.0,64.02999999999992,0.03513325175995474,TIMEOUT,0.45112781954887216,low_vol_choppy,23
MSFT,2018-07-30,2018-08-22,98.534,100.478,23.0,44.71199999999973,0.019729230519414553,TIMEOUT,0.5791190864600326,low_vol_choppy,23
AAPL,2018-08-07,2018-08-30,48.8873,53.3037,30.0,132.49199999999988,0.09033839054314718,TIMEOUT,0.3525423728813559,low_vol_choppy,23
GOOGL,2018-08-29,2018-09-04,63.0041,60.3467,40.0,-106.2960000000001,-0.042178207449991345,SL_HIT,0.3525423728813559,low_vol_choppy,6
GOOGL,2018-09-04,2018-09-17,60.3467,57.782,40.0,-102.58800000000008,-0.04249942416072461,SL_HIT,0.3525423728813559,low_vol_choppy,13
AAPL,2018-08-30,2018-09-24,53.3037,52.301,51.0,-51.13769999999986,-0.01881107690460504,TIMEOUT,0.3525423728813559,low_vol_choppy,25
AMZN,2019-02-06,2019-03-01,82.013,83.5865,10.0,15.734999999999957,0.019185982710058003,TIMEOUT,0.21830985915492956,low_vol_choppy,23
AMZN,2019-03-04,2019-03-27,84.8085,88.285,26.0,90.38900000000004,0.04099235336080698,TIMEOUT,0.5791190864600326,low_vol_choppy,23
MSFT,2019-03-14,2019-04-08,108.476,113.536,53.0,268.1800000000001,0.04664626276780126,TIMEOUT,0.7647058823529411,low_vol_choppy,25
AAPL,2019-03-14,2019-04-08,43.8615,47.7734,119.0,465.51610000000034,0.08918755628512476,TP_HIT,0.7859649122807018,low_vol_choppy,25
GOOGL,2019-04-23,2019-04-30,63.3001,59.7314,61.0,-217.6907,-0.05637747807665394,SL_HIT,0.3525423728813559,low_vol_choppy,7
AMZN,2019-04-23,2019-05-13,96.1885,91.134,40.0,-202.18000000000018,-0.05254786175062509,SL_HIT,0.3525423728813559,low_vol_choppy,20
GOOGL,2019-06-05,2019-06-28,52.0434,53.9444,73.0,138.77300000000025,0.03652720613949123,TIMEOUT,0.9130434782608695,low_vol_choppy,23
AMZN,2019-06-06,2019-07-01,87.718,96.1095,34.0,285.3109999999998,0.09566451583483437,TIMEOUT,0.5791190864600326,low_vol_choppy,25
MSFT,2019-06-06,2019-07-01,121.437,128.909,19.0,141.9679999999999,0.06152984675181372,TIMEOUT,0.3525423728813559,low_vol_choppy,25
AMZN,2019-07-09,2019-07-29,99.415,95.6225,51.0,-193.4175000000002,-0.03814816677563748,SL_HIT,0.4745762711864407,low_vol_choppy,20
AAPL,2019-10-01,2019-10-24,54.0276,58.5975,109.0,498.11909999999966,0.08458454567665408,TIMEOUT,0.7859649122807018,low_vol_choppy,23
GOOGL,2019-10-15,2019-11-07,61.8877,65.111,61.0,196.6213000000001,0.05208304719677748,TIMEOUT,0.3525423728813559,low_vol_choppy,23
MSFT,2019-10-28,2019-11-20,137.446,143.112,33.0,186.9779999999999,0.041223462305196135,TIMEOUT,0.4745762711864407,low_vol_choppy,23
GOOGL,2019-11-07,2019-12-02,65.111,64.2102,122.0,-109.89760000000047,-0.013834835895624398,TIMEOUT,0.6206896551724138,low_vol_choppy,25
AAPL,2019-12-10,2019-12-30,64.7782,70.3373,135.0,750.4785000000002,0.08581745093256687,TP_HIT,0.7859649122807018,low_vol_choppy,20
AAPL,2019-12-30,2020-01-13,70.3373,76.4775,143.0,878.048600000001,0.08729649844392662,TP_HIT,0.7859649122807018,low_vol_choppy,14
GOOGL,2020-01-03,2020-01-16,67.8302,72.2461,240.0,1059.8159999999984,0.06510227008028857,TP_HIT,1.0,low_vol_choppy,13
AMZN,2019-12-26,2020-01-21,93.4385,94.6,51.0,59.23649999999947,0.012430636193859979,TIMEOUT,0.3525423728813559,low_vol_choppy,26
MSFT,2020-01-03,2020-01-27,151.726,155.213,107.0,373.10899999999947,0.022982217945507033,TIMEOUT,1.0,low_vol_choppy,24
GOOGL,2020-01-17,2020-02-10,73.7088,75.1606,94.0,136.46920000000054,0.019696427020925666,TIMEOUT,0.2808510638297873,low_vol_choppy,24
AMZN,2020-02-04,2020-02-27,102.484,94.215,38.0,-314.22199999999964,-0.08068576558292018,SL_HIT,0.2808510638297873,low_vol_choppy,23
SPY,2020-06-05,2020-06-11,296.894,279.485,26.0,-452.6339999999998,-0.05863708933154588,SL_HIT,0.45112781954887216,low_vol_choppy,6
AMZN,2020-06-09,2020-07-01,130.043,143.935,108.0,1500.3359999999996,0.10682620364033424,TP_HIT,0.9186991869918699,low_vol_choppy,22
AAPL,2020-06-10,2020-07-06,85.5653,90.6607,65.0,331.2010000000008,0.05954984088175941,TIMEOUT,0.23529411764705882,low_vol_choppy,26
AMZN,2020-07-01,2020-07-24,143.935,150.445,77.0,501.2699999999993,0.045228749088130016,TIMEOUT,0.9186991869918699,low_vol_choppy,23
GOOGL,2020-07-01,2020-07-24,71.8396,75.1381,49.0,161.6264999999995,0.04591478794425341,TIMEOUT,0.21830985915492956,low_vol_choppy,23
